feature,mean_abs_shap
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,0.030399594
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),0.030134326
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.029527659
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,0.029192498
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,0.02915756
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,0.02904085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,0.028865803
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0.028839737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,0.028824102
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,0.028291017
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,0.028183242
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified,0.028108789
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,0.027985502
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95,0.027747927
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),0.02746435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,0.027065251
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,0.026876595
