feature,mean_abs_shap
NONMEVIPP-PWY: methylerythritol phosphate pathway I,0.04880546
PWY-2942: L-lysine biosynthesis III,0.047895174
PWY-5973: cis-vaccenate biosynthesis,0.04774009
PWY-6588: pyruvate fermentation to acetone,0.047715895
PWY-5941: glycogen degradation II (eukaryotic),0.046721593
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,0.046568427
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus,0.045610126
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,0.04533613
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,0.04454839
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,0.04448463
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),0.044091016
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.043960437
PWY-5177: glutaryl-CoA degradation,0.04393964
PWY-6891: thiazole biosynthesis II (Bacillus),0.043622456
PWY-1861: formaldehyde assimilation II (RuMP Cycle),0.043426763
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,0.043405995
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,0.042863887
PWY66-399: gluconeogenesis III,0.042405047
PWY-6737: starch degradation V,0.041959163
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",0.041951563
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,0.041904394
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.04175794
PWY-5994: palmitate biosynthesis I (animals and fungi),0.041655056
RUMP-PWY: formaldehyde oxidation I,0.041491892
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,0.04138685
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.04108331
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,0.04075461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5,0.040524535
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,0.040479757
