model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
stratified_source_only,FengQ_2015,0.8036350677120455,107,0.5147982281920842,0.095564519087371,0.15079487897400537,0.9724829520283488,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
gene_family_enet,GuptaA_2019,0.7733333333333334,60,0.45533676144668256,0.18773133661237681,0.2956525229511826,0.8803095804480329,0.06666666666666667,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
joint_rf,GuptaA_2019,0.9122222222222222,60,0.5106103343062336,0.12834377163978922,0.21920482293499,0.9506637260376688,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
joint_xgb,GuptaA_2019,0.8855555555555557,60,0.4615075159041832,0.3786578757810251,0.7020551029903194,0.48409351020175356,0.55,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
mechanism_only,GuptaA_2019,0.5900000000000001,60,0.4755418414183828,0.02960671184205571,0.06651957766152888,0.9957112541990408,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
mechanism_plus_parent,GuptaA_2019,0.8583333333333333,60,0.515196635622473,0.09084560652760655,0.16273884518257192,0.9752659715603796,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
parent_species_only,GuptaA_2019,0.8294444444444445,60,0.5191427262899302,0.09347729925542106,0.16451407560148912,0.9734428779469166,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
pathway_rf,GuptaA_2019,0.9355555555555557,60,0.4919065570124853,0.14644835159672484,0.25267332827802463,0.9356713169792663,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
species_rf,GuptaA_2019,0.8822222222222222,60,0.515979295223529,0.14338904060904797,0.2230861100309994,0.9368126327643314,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
species_source_only,GuptaA_2019,0.9166666666666667,60,0.4951283216832508,0.14639672306872206,0.23960032180484023,0.9351043823968812,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
stratified_joint_rf,GuptaA_2019,0.8900000000000001,60,0.5688467279488605,0.11603033233858771,0.2124092299024722,0.9455436418323596,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
stratified_joint_xgb,GuptaA_2019,0.8711111111111112,60,0.6022170664742589,0.3161803792785332,0.5794045603523652,0.6153372560575874,0.38333333333333336,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
stratified_source_only,GuptaA_2019,0.9011111111111111,60,0.5777397945548554,0.12508820185214387,0.22396630549293367,0.9345035111483486,0.0,0.5413460291395235,2.048240735831743,0.24416079702005183,0.9992832942402919
gene_family_enet,ThomasAM_2018a,0.6580459770114943,53,0.7170479931620685,0.24227099340537467,0.6053761801100979,0.6434225445468177,0.32075471698113206,0.31937075558656736,1.4085416205554255,0.1258183688529516,0.982496552128877
