model,threshold_pt,net_benefit,n_tp,n_fp,strategy
treat_all,0.38,0.198969,674,665,all
treat_none,0.38,0.0,0,0,none
treat_all,0.39,0.185837,674,665,all
treat_none,0.39,0.0,0,0,none
treat_all,0.4,0.172268,674,665,all
treat_none,0.4,0.0,0,0,none
treat_all,0.41,0.158239,674,665,all
treat_none,0.41,0.0,0,0,none
treat_all,0.42,0.143725,674,665,all
treat_none,0.42,0.0,0,0,none
treat_all,0.43,0.128703,674,665,all
treat_none,0.43,0.0,0,0,none
treat_all,0.44,0.113144,674,665,all
treat_none,0.44,0.0,0,0,none
treat_all,0.45,0.097019,674,665,all
treat_none,0.45,0.0,0,0,none
treat_all,0.46,0.080298,674,665,all
treat_none,0.46,0.0,0,0,none
treat_all,0.47,0.062945,674,665,all
treat_none,0.47,0.0,0,0,none
treat_all,0.48,0.044924,674,665,all
treat_none,0.48,0.0,0,0,none
treat_all,0.49,0.026197,674,665,all
treat_none,0.49,0.0,0,0,none
treat_all,0.5,0.006721,674,665,all
treat_none,0.5,0.0,0,0,none
