gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status
UniRef90_Q8A6A7,2,2,0.0,0.5438983732252962,-0.046970046970046975,False,not_yet_assessed
UniRef90_D7J3P2,2,2,0.0,0.5404196726312112,-0.030597905597905595,False,not_yet_assessed
UniRef90_G9RUW2,2,2,1.0,0.5379985465116279,0.01862403100775195,False,not_yet_assessed
UniRef90_A0A174BL52,2,2,0.0,0.5350232558139535,-0.017383720930232494,False,not_yet_assessed
UniRef90_R6KB72,2,2,1.0,0.5340092054263565,0.046120155038759714,False,not_yet_assessed
UniRef90_Q8A011,2,2,1.0,0.532000484496124,0.027434108527131795,False,not_yet_assessed
UniRef90_R5APM6,2,2,0.0,0.5309164614121511,-0.03089080459770116,False,not_yet_assessed
UniRef90_A0A174QQF0,2,2,1.0,0.5301133720930232,0.02974418604651169,False,not_yet_assessed
UniRef90_A0A0D8IWR5,2,2,0.0,0.5299922564073507,-0.03077636869780387,False,not_yet_assessed
UniRef90_A0A3A9BDB1,2,2,0.0,0.5294057872738664,-0.021299777138007903,False,not_yet_assessed
UniRef90_T4C1L2,2,2,0.0,0.5282963102857551,-0.010671203216826464,False,not_yet_assessed
UniRef90_A0A174G5R7,2,2,1.0,0.5256002906976744,0.02305813953488378,False,not_yet_assessed
UniRef90_A0A374P4M0,2,2,1.0,0.521641472868217,0.07481007751937985,False,not_yet_assessed
UniRef90_A0A0D8IWP6,2,2,1.0,0.5157455532455533,0.048733348733348725,False,not_yet_assessed
UniRef90_A0A0A2FIM1,2,2,0.0,0.5141349321705426,-0.014449612403100776,False,not_yet_assessed
UniRef90_A0A174Y457,2,2,1.0,0.5128243628243628,0.04122584122584122,False,not_yet_assessed
UniRef90_A0A351IYV7,2,2,0.5,0.5113556201550388,0.010841085271317816,False,not_yet_assessed
UniRef90_A0A0S2W3X4,2,2,0.0,0.5112475345167653,-0.009615384615384637,False,not_yet_assessed
UniRef90_Q5L923,2,2,0.5,0.5096726190476191,-0.05110837438423649,False,not_yet_assessed
UniRef90_A8RVR6,2,2,1.0,0.508953003875969,0.054372093023255796,False,not_yet_assessed
UniRef90_U2QIN0,2,2,0.0,0.5081716954022988,-0.051364942528735635,False,not_yet_assessed
UniRef90_D3AFY1,2,2,0.0,0.507110465116279,-0.0018139534883720998,False,not_yet_assessed
UniRef90_A0A3E4JRE0,2,2,1.0,0.5006390503875969,0.04999612403100773,False,not_yet_assessed
UniRef90_Q8A0H8,2,2,0.0,0.4990827688834154,-0.0339952791461412,False,not_yet_assessed
UniRef90_A7AXY2,2,2,0.0,0.4967522424992267,-0.0348848155569601,False,not_yet_assessed
UniRef90_D1PK04,2,2,1.0,0.49425540925540923,0.03446908446908442,False,not_yet_assessed
UniRef90_A0A139KHM2,2,2,0.5,0.4934767549261084,-0.05110837438423649,False,not_yet_assessed
UniRef90_I8V4S7,2,2,1.0,0.4931104651162791,0.04999612403100773,False,not_yet_assessed
UniRef90_C7H8R2,2,2,1.0,0.49233810733810734,0.010695310695310656,False,not_yet_assessed
UniRef90_B2PX02,2,2,0.0,0.4910028524604433,-0.009429600662672621,False,not_yet_assessed
UniRef90_R6JSF5,2,2,0.0,0.4909367302955665,-0.059292898193760324,False,not_yet_assessed
UniRef90_W4PLW4,2,2,0.0,0.4891535816912972,-0.08235837438423649,False,not_yet_assessed
UniRef90_Q5L7Q8,2,2,0.0,0.48781942733990147,-0.08012623152709364,False,not_yet_assessed
UniRef90_C7H649,2,2,0.0,0.4872485207100592,-0.01794871794871794,False,not_yet_assessed
UniRef90_R5UTQ0,2,2,0.0,0.4864916871921182,-0.034867610837438445,False,not_yet_assessed
